NED University - BS Computer Science Course Scheme (Undergraduate Prospectus 2024)
Manually corrected/verified against source PDF (pages 1-4). Original OCR/table parse had column-bleed errors in ~14 of 20 tables; this file replaces those with verified data.

Format: Year | Specialisation | Semester | Section | CourseCode | CourseTitle | Th | Pr | Total
(Th = Theory credit hours, Pr = Practical credit hours, Total = Total credit hours, NC = Non-Credit)

FIRST YEAR | Common to all Specialisations | Fall | Core | CT-175 | Programming Fundamentals | 3 | 1 | 4
FIRST YEAR | Common to all Specialisations | Fall | Core | CT-174 | Fundamentals of Information Technology | 2 | 1 | 3
FIRST YEAR | Common to all Specialisations | Fall | Core | EA-104 | Functional English | 3 | 0 | 3
FIRST YEAR | Common to all Specialisations | Fall | Core | PH-122 | Applied Physics | 3 | 1 | 4
FIRST YEAR | Common to all Specialisations | Fall | Core (OR) | ES-205 | Islamic Studies | 2 | 0 | 2
FIRST YEAR | Common to all Specialisations | Fall | Core (OR) | ES-209 | Ethical Behaviour (for Non-Muslims) | - | - | -
FIRST YEAR | Common to all Specialisations | Fall | Core (OR, Pre-Medical) | MT-001 | Mathematics-1 (for Pre-Medical) | - | - | NC
FIRST YEAR | Common to all Specialisations | Spring | Core | CS-251 | Logic Design and Switching Theory | 3 | 1 | 4
FIRST YEAR | Common to all Specialisations | Spring | Core | CT-162 | Discrete Structures | 3 | 0 | 3
FIRST YEAR | Common to all Specialisations | Spring | Core | CT-260 | Object Oriented Programming | 3 | 1 | 4
FIRST YEAR | Common to all Specialisations | Spring | Core | MT-171 | Differential and Integral Calculus | 3 | 0 | 3
FIRST YEAR | Common to all Specialisations | Spring | Core (OR) | ES-105 | Pakistan Studies | 2 | 0 | 2
FIRST YEAR | Common to all Specialisations | Spring | Core (OR) | ES-127 | Pakistan Studies (for Foreigners) | - | - | -
FIRST YEAR | Common to all Specialisations | Spring | Core (OR, Pre-Medical) | MT-002 | Mathematics-2 (for Pre-Medical) | - | - | NC

SECOND YEAR | Common to all Specialisations | Fall | Core | CT-159 | Data Structure Algorithms and Applications | 3 | 1 | 4
SECOND YEAR | Common to all Specialisations | Fall | Core | MT-227 | Differential Equations | 3 | 0 | 3
SECOND YEAR | Common to all Specialisations | Fall | Core | EA-115 | Academic Reading and Writing | 3 | 0 | 3
SECOND YEAR | Common to all Specialisations | Fall | Core | EA-219 | Professional Ethics | 2 | 0 | 2
SECOND YEAR | Common to all Specialisations | Fall | Core | MT-331 | Probability and Statistics | 3 | 0 | 3
SECOND YEAR | Common to all Specialisations | Spring | Core | CS-252 | Computer Architecture and Organization | 3 | 1 | 4
SECOND YEAR | Common to all Specialisations | Spring | Core | CT-261 | Database Management Systems | 3 | 1 | 4
SECOND YEAR | Common to all Specialisations | Spring | Core | EA-218 | Business Communication | 2 | 1 | 3
SECOND YEAR | Common to all Specialisations | Spring | Core | EC-209 | Financial and Cost Accounting | 3 | 0 | 3
